Strain Category,Z1,Z2.5,PGV1,Magnitude,Depth2,Rrup1,Vs10,Vs30,Vs50,Vs100,VsMean,VsMin,VsMax,VsZhole,EQcategory1,boreholeDepth,PGA (g),kappa surface
1,90,180,0.00018936,5.5,59,122.475,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,4,108,0.036962673,0.088067
1,90,180,0.00072558,6.5,119,137.47,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,4,108,0.04836514,0.088747
1,90,180,0.00003518,5.3,98,139.67,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,4,108,0.00603774,0.078574
1,90,180,0.00017002,5.2,62,110.505,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.03571556,0.077618
1,90,180,0.000042146,4.7,86,129.2,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,4,108,0.007064594,0.078965
1,90,180,0.00014646,5.6,53,128.72,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.029292368,0.083104
1,90,180,0.000012739,3.9,53,121.245,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,4,108,0.006643451,0.070152
1,90,180,0.000013763,4.3,53,120.275,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.005419792,0.089573
1,90,180,0.000030384,4.3,53,124.51,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,4,108,0.010446993,0.080337
1,90,180,0.000028083,4.7,47,141.615,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.004645827,0.081432
1,90,180,0.0006591,6.9,5,101.25,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,2,108,0.037316515,0.066442
1,90,180,0.000026829,5.1,110,135.1,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,4,108,0.01275767,0.065413
1,90,180,0.00026192,5.7,44,140.2,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.019888545,0.087543
1,90,180,0.000061199,4.9,47,137.825,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.014164878,0.10122
1,90,180,0.000026971,4.3,5,145.71,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,2,108,0.006213131,0.077424
1,90,180,0.000040101,4.8,11,147.1,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,2,108,0.004583624,0.064008
1,90,180,0.00016705,6.1,41,136.085,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.01476855,0.069217
1,90,180,0.00019559,5.9,50,146.725,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.013201246,0.069025
1,90,180,0.000030519,4.7,5,61.74,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,2,108,0.007526525,0.062471
1,90,180,0.00024631,5.7,41,146.025,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.01516216,0.086094
1,90,180,0.000039267,5.4,50,140.87,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.005197494,0.077065
1,90,180,0.00011564,3.9,8,42.905,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,2,108,0.040493951,0.060364
1,90,180,0.000023369,4.8,41,139.325,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.007001372,0.079685
1,90,180,0.000033805,5.2,50,141.26,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.00582258,0.072117
1,90,180,0.000047534,4.9,44,145.395,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.014203627,0.085131
1,90,180,0.000070842,5.4,41,142.03,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.008746106,0.07403
1,90,180,0.000025929,4.5,5,130.54,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,2,108,0.009158071,0.080669
1,90,180,0.000029258,5.2,50,141.785,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,3,108,0.004003406,0.076465
1,60,1220,0.00002769,4.5,65,140.565,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,4,312,0.010261404,0.060007
1,60,1220,0.000068295,4.7,86,114.425,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,4,312,0.026846069,0.062041
1,60,1220,0.00002427,4.1,59,94.41,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.009716876,0.047399
1,60,1220,0.00010773,5.3,56,120.5,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.03007653,0.061071
1,60,1220,0.000089277,4.2,53,117.39,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,4,312,0.028193114,0.06098
1,60,1220,0.000068858,4.8,41,142.605,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.021406902,0.068972
1,60,1220,0.000018787,4.2,50,97.81,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.010801854,0.065065
1,60,1220,0.000042729,4.3,47,115.98,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.017842994,0.063784
1,60,1220,0.000031771,4.8,47,121.935,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.012795399,0.053752
1,60,1220,0.00028948,5.8,53,119.35,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.064971219,0.052101
1,60,1220,0.000045173,4.9,50,120.405,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.010771262,0.052085
1,60,1220,0.000037001,4.3,47,119.51,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.012198865,0.061328
1,60,1220,0.00020821,5.7,44,133.32,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.028047294,0.061051
1,60,1220,0.00009068,4.9,47,137.11,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.021132599,0.059682
1,60,1220,0.000029269,4,56,113.705,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.01520091,0.055688
1,60,1220,0.00010321,4.3,5,61.045,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,2,312,0.02181173,0.051968
1,60,1220,0.000087821,4.8,32,142.6,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.025783524,0.080778
