EQName,Strain Category,Max Vs30,Vs at 30m,Max Vs50,Vs at 50,Max Vs100,Z1,Z2.5,PGV1,Magnitude,Depth2,Rrup1,Vs10,Vs30,Vs50,Vs100,VsMean,VsMin,VsMax,VsZhole,PGA (g),kappa surface
AKTH140104030454EW1,1,690,690,690,690,1270,90,180,0.00018936,5.5,59,122.475,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.036962673,0.088067
AKTH140112022202EW1,1,690,690,690,690,1270,90,180,0.00072558,6.5,119,137.47,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.04836514,0.088747
AKTH140205121029EW1,1,690,690,690,690,1270,90,180,0.00003518,5.3,98,139.67,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.00603774,0.078574
AKTH140402041508EW1,1,690,690,690,690,1270,90,180,0.00017002,5.2,62,110.505,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.03571556,0.077618
AKTH140407040344EW1,1,690,690,690,690,1270,90,180,0.00004215,4.7,86,129.2,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.007064594,0.078965
AKTH140408101513EW1,1,690,690,690,690,1270,90,180,0.00014646,5.6,53,128.72,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.029292368,0.083104
AKTH140502021643EW1,1,690,690,690,690,1270,90,180,0.00001274,3.9,53,121.245,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.006643451,0.070152
AKTH140507301750EW1,1,690,690,690,690,1270,90,180,0.00001376,4.3,53,120.275,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.005419792,0.089573
AKTH140611060657EW1,1,690,690,690,690,1270,90,180,0.00003038,4.3,53,124.51,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.010446993,0.080337
AKTH140801110800EW1,1,690,690,690,690,1270,90,180,0.00002808,4.7,47,141.615,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.004645827,0.081432
AKTH140806140843EW1,1,690,690,690,690,1270,90,180,0.0006591,6.9,5,101.25,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.037316515,0.066442
AKTH140807241128EW1,1,690,690,690,690,1270,90,180,0.00002683,5.1,110,135.1,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.01275767,0.065413
AKTH140902151824EW1,1,690,690,690,690,1270,90,180,0.00026192,5.7,44,140.2,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.019888545,0.087543
AKTH140904252254EW1,1,690,690,690,690,1270,90,180,0.0000612,4.9,47,137.825,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.014164878,0.10122
AKTH141001241619EW1,1,690,690,690,690,1270,90,180,0.00002697,4.3,5,145.71,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.006213131,0.077424
AKTH141008311130EW1,1,690,690,690,690,1270,90,180,0.0000401,4.8,11,147.1,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.004583624,0.064008
AKTH141103171314EW1,1,690,690,690,690,1270,90,180,0.00016705,6.1,41,136.085,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.01476855,0.069217
AKTH141104012058EW1,1,690,690,690,690,1270,90,180,0.00019559,5.9,50,146.725,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.013201246,0.069025
AKTH141104190414EW1,1,690,690,690,690,1270,90,180,0.00003052,4.7,5,61.74,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.007526525,0.062471
AKTH141105080552EW1,1,690,690,690,690,1270,90,180,0.00024631,5.7,41,146.025,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.01516216,0.086094
AKTH141105312128EW1,1,690,690,690,690,1270,90,180,0.00003927,5.4,50,140.87,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.005197494,0.077065
AKTH141106041233EW1,1,690,690,690,690,1270,90,180,0.00011564,3.9,8,42.905,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.040493951,0.060364
AKTH141106100316EW1,1,690,690,690,690,1270,90,180,0.00002337,4.8,41,139.325,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.007001372,0.079685
AKTH141107111329EW1,1,690,690,690,690,1270,90,180,0.00003381,5.2,50,141.26,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.00582258,0.072117
AKTH141108051953EW1,1,690,690,690,690,1270,90,180,0.00004753,4.9,44,145.395,100,232.5842697,316.5137615,446.7954928,469.3300273,100,1270,1270,0.014203627,0.085131
